player,team,season
Hossam Ghaly,Tottenham Hotspur,2007-2008
Tom Huddlestone,Tottenham Hotspur,2007-2008
Jermaine Jenas,Tottenham Hotspur,2007-2008
Aaron Lennon,Tottenham Hotspur,2007-2008
Steed Malbranque,Tottenham Hotspur,2007-2008
Danny Murphy,Tottenham Hotspur,2007-2008
Paul Stalteri,Tottenham Hotspur,2007-2008
Adel Taarabt,Tottenham Hotspur,2007-2008
Teemu Tainio,Tottenham Hotspur,2007-2008
Didier Zokora,Tottenham Hotspur,2007-2008
Andy Barcham,Tottenham Hotspur,2007-2008
Lee Barnard,Tottenham Hotspur,2007-2008
Dimitar Berbatov,Tottenham Hotspur,2007-2008
Jermain Defoe,Tottenham Hotspur,2007-2008
Robbie Keane,Tottenham Hotspur,2007-2008
Mido,Tottenham Hotspur,2007-2008
Mark Yeates,Tottenham Hotspur,2007-2008
Martin Jol,Tottenham Hotspur,2007-2008
Ricardo Moniz,Tottenham Hotspur,2007-2008
Trevor Carson,Sunderland AFC,2008-2009
Marton Fulop,Sunderland AFC,2008-2009
Craig Gordon,Sunderland AFC,2008-2009
Darren Ward,Sunderland AFC,2008-2009
Russell Anderson,Sunderland AFC,2008-2009
Phil Bardsley,Sunderland AFC,2008-2009
Danny Collins,Sunderland AFC,2008-2009
Jonny Evans,Sunderland AFC,2008-2009
Ian Harte,Sunderland AFC,2008-2009
Peter Hartley,Sunderland AFC,2008-2009
Danny Higginbotham,Sunderland AFC,2008-2009
Jean-Yves M'voto,Sunderland AFC,2008-2009
Paul McShane,Sunderland AFC,2008-2009
Nayron Nosworthy,Sunderland AFC,2008-2009
Jack Pelter,Sunderland AFC,2008-2009
Billy Dennehy,Sunderland AFC,2008-2009
Carlos Edwards,Sunderland AFC,2008-2009
Dickson Etuhu,Sunderland AFC,2008-2009
Grant Leadbitter,Sunderland AFC,2008-2009
Liam Miller,Sunderland AFC,2008-2009
Roy O'Donovan,Sunderland AFC,2008-2009
Andy Reid,Sunderland AFC,2008-2009
Jake Richardson,Sunderland AFC,2008-2009
Kieran Richardson,Sunderland AFC,2008-2009
Ross Wallace,Sunderland AFC,2008-2009
Dean Whitehead,Sunderland AFC,2008-2009
Michael Chopra,Sunderland AFC,2008-2009
David Connolly,Sunderland AFC,2008-2009
David Dowson,Sunderland AFC,2008-2009
Kenwyne Jones,Sunderland AFC,2008-2009
Daryl Murphy,Sunderland AFC,2008-2009
Rade Prica,Sunderland AFC,2008-2009
Anthony Stokes,Sunderland AFC,2008-2009
Martyn Waghorn,Sunderland AFC,2008-2009
Dwight Yorke,Sunderland AFC,2008-2009
Roy Keane,Sunderland AFC,2008-2009
Raimond van der Gouw,Sunderland AFC,2008-2009
Trevor Carson,Sunderland AFC,2009-2010
Nick Colgan,Sunderland AFC,2009-2010
Marton Fulop,Sunderland AFC,2009-2010
Craig Gordon,Sunderland AFC,2009-2010
Phil Bardsley,Sunderland AFC,2009-2010
Tal Ben Haim,Sunderland AFC,2009-2010
Danny Collins,Sunderland AFC,2009-2010
Calum Davenport,Sunderland AFC,2009-2010
Anton Ferdinand,Sunderland AFC,2009-2010
Peter Hartley,Sunderland AFC,2009-2010
Michael Kay,Sunderland AFC,2009-2010
Michael Liddle,Sunderland AFC,2009-2010
Jean-Yves M'voto,Sunderland AFC,2009-2010
George McCartney,Sunderland AFC,2009-2010
Paul McShane,Sunderland AFC,2009-2010
Nayron Nosworthy,Sunderland AFC,2009-2010
Carlos Edwards,Sunderland AFC,2009-2010
Jordan Henderson,Sunderland AFC,2009-2010
Grant Leadbitter,Sunderland AFC,2009-2010
Nathan Luscombe,Sunderland AFC,2009-2010
Steed Malbranque,Sunderland AFC,2009-2010
Liam Miller,Sunderland AFC,2009-2010
Andy Reid,Sunderland AFC,2009-2010
Kieran Richardson,Sunderland AFC,2009-2010
Teemu Tainio,Sunderland AFC,2009-2010
Dean Whitehead,Sunderland AFC,2009-2010
Djibril Cisse,Sunderland AFC,2009-2010
Jordan Cook,Sunderland AFC,2009-2010
David Dowson,Sunderland AFC,2009-2010
David Healy,Sunderland AFC,2009-2010
Kenwyne Jones,Sunderland AFC,2009-2010
Daryl Murphy,Sunderland AFC,2009-2010
Martyn Waghorn,Sunderland AFC,2009-2010
Dwight Yorke,Sunderland AFC,2009-2010
Trevor Carson,Sunderland AFC,2010-2011
Craig Gordon,Sunderland AFC,2010-2011
Phil Bardsley,Sunderland AFC,2010-2011
Paulo da Silva,Sunderland AFC,2010-2011
Anton Ferdinand,Sunderland AFC,2010-2011
Alan Hutton,Sunderland AFC,2010-2011
Matt Kilgallon,Sunderland AFC,2010-2011
Michael Liddle,Sunderland AFC,2010-2011
George McCartney,Sunderland AFC,2010-2011
John Mensah,Sunderland AFC,2010-2011
Michael Turner,Sunderland AFC,2010-2011
Lorik Cana,Sunderland AFC,2010-2011
Lee Cattermole,Sunderland AFC,2010-2011
Jack Colback,Sunderland AFC,2010-2011
Jordan Henderson,Sunderland AFC,2010-2011
Conor Hourihane,Sunderland AFC,2010-2011
Steed Malbranque,Sunderland AFC,2010-2011
David Meyler,Sunderland AFC,2010-2011
Andy Reid,Sunderland AFC,2010-2011
Kieran Richardson,Sunderland AFC,2010-2011
Boudewijn Zenden,Sunderland AFC,2010-2011
Benjani,Sunderland AFC,2010-2011
Darren Bent,Sunderland AFC,2010-2011
Fraizer Campbell,Sunderland AFC,2010-2011
Jordan Cook,Sunderland AFC,2010-2011
Kenwyne Jones,Sunderland AFC,2010-2011
Ryan Noble,Sunderland AFC,2010-2011
Steve Bruce,Sunderland AFC,2010-2011
Louis Deschateaux,SM Caen,2016-2017
Paul Reulet,SM Caen,2016-2017
Remy Vercoutre,SM Caen,2016-2017
Chaker Alhadhur,SM Caen,2016-2017
Dennis Appiah,SM Caen,2016-2017
Syam Ben Youssef,SM Caen,2016-2017
Damien Da Silva,SM Caen,2016-2017
Emmanuel Imorou,SM Caen,2016-2017
Florian Le Joncour,SM Caen,2016-2017
Alexandre Raineau,SM Caen,2016-2017
Alaeddine Yahia,SM Caen,2016-2017
Jordan Adeoti,SM Caen,2016-2017
Jonathan Beaulieu,SM Caen,2016-2017
Vincent Bessat,SM Caen,2016-2017
Jonathan Delaplace,SM Caen,2016-2017
Ismael Diomande,SM Caen,2016-2017
Julien Feret,SM Caen,2016-2017
Jordan Leborgne,SM Caen,2016-2017
Jean-Victor Makengo,SM Caen,2016-2017
Jordan N'Kololo,SM Caen,2016-2017
Nicolas Seube,SM Caen,2016-2017
Valentin Voisin,SM Caen,2016-2017
Herve Bazile,SM Caen,2016-2017
Andy Delort,SM Caen,2016-2017
Christian Kouakou,SM Caen,2016-2017
Jeff Louis,SM Caen,2016-2017
Saidi Ntibazonkiza,SM Caen,2016-2017
Ronny Rodelin,SM Caen,2016-2017
Patrice Garande,SM Caen,2016-2017
Jean-Marie Huriez,SM Caen,2016-2017
Frederic Petereyns,SM Caen,2016-2017
