player,team,season,type
Hubert Fournier,Olympique Lyon,2014-2015,club
Michel Audrain,Olympique Lyon,2014-2015,club
Gerald Baticle,Olympique Lyon,2014-2015,club
Bruno Genesio,Olympique Lyon,2014-2015,club
Joel Bats,Olympique Lyon,2014-2015,club
Anthony Lopes,Olympique Lyon,2015-2016,club
Mathieu Gorgelin,Olympique Lyon,2015-2016,club
Lucas Mocio,Olympique Lyon,2015-2016,club
Henri Bedimo,Olympique Lyon,2015-2016,club
Christophe Jallet,Olympique Lyon,2015-2016,club
Bakary Kone,Olympique Lyon,2015-2016,club
Jeremy Morel,Olympique Lyon,2015-2016,club
Romaric N'Gouma,Olympique Lyon,2015-2016,club
Rafael,Olympique Lyon,2015-2016,club
Samuel Umtiti,Olympique Lyon,2015-2016,club
Mapou Yanga-Mbiwa,Olympique Lyon,2015-2016,club
