player,team,season
Cesc Fabregas,FC Barcelona,2013-2014
Jonathan dos Santos,FC Barcelona,2013-2014
Iniesta,FC Barcelona,2013-2014
Rafinha,FC Barcelona,2013-2014
Sergi Roberto,FC Barcelona,2013-2014
Alex Song,FC Barcelona,2013-2014
Thiago,FC Barcelona,2013-2014
Xavi,FC Barcelona,2013-2014
Cristian Tello,FC Barcelona,2013-2014
David Villa,FC Barcelona,2013-2014
Gerard Deulofeu,FC Barcelona,2013-2014
Lionel Messi,FC Barcelona,2013-2014
Pedro,FC Barcelona,2013-2014
Alexis Sanchez,FC Barcelona,2013-2014
Vilanova,FC Barcelona,2013-2014
Carles Planchart,FC Barcelona,2013-2014
Roura,FC Barcelona,2013-2014
De la Fuente,FC Barcelona,2013-2014
Oier,FC Barcelona,2014-2015
Pinto,FC Barcelona,2014-2015
Victor Valdes,FC Barcelona,2014-2015
Adriano,FC Barcelona,2014-2015
Bartra,FC Barcelona,2014-2015
Dani Alves,FC Barcelona,2014-2015
Jordi Alba,FC Barcelona,2014-2015
Martin Montoya,FC Barcelona,2014-2015
Javier Mascherano,FC Barcelona,2014-2015
Patric,FC Barcelona,2014-2015
Pique,FC Barcelona,2014-2015
Puyol,FC Barcelona,2014-2015
Sergi Gomez,FC Barcelona,2014-2015
Ibrahim Afellay,FC Barcelona,2014-2015
Busquets,FC Barcelona,2014-2015
Cesc Fabregas,FC Barcelona,2014-2015
Jonathan dos Santos,FC Barcelona,2014-2015
Iniesta,FC Barcelona,2014-2015
Sergi Roberto,FC Barcelona,2014-2015
Alex Song,FC Barcelona,2014-2015
Xavi,FC Barcelona,2014-2015
Cristian Tello,FC Barcelona,2014-2015
Jean Dongou,FC Barcelona,2014-2015
Isaac Cuenca,FC Barcelona,2014-2015
Lionel Messi,FC Barcelona,2014-2015
Neymar,FC Barcelona,2014-2015
Pedro,FC Barcelona,2014-2015
Alexis Sanchez,FC Barcelona,2014-2015
Adama Traore,FC Barcelona,2014-2015
Jorge Pautasso,FC Barcelona,2014-2015
Roura,FC Barcelona,2014-2015
Rubi,FC Barcelona,2014-2015
De la Fuente,FC Barcelona,2014-2015
Claudio Bravo,FC Barcelona,2015-2016
Jordi Masip,FC Barcelona,2015-2016
Marc-Andre ter Stegen,FC Barcelona,2015-2016
Adriano,FC Barcelona,2015-2016
Bartra,FC Barcelona,2015-2016
Dani Alves,FC Barcelona,2015-2016
Douglas,FC Barcelona,2015-2016
Edgar Ie,FC Barcelona,2015-2016
Jordi Alba,FC Barcelona,2015-2016
Martin Montoya,FC Barcelona,2015-2016
Javier Mascherano,FC Barcelona,2015-2016
Jeremy Mathieu,FC Barcelona,2015-2016
Pique,FC Barcelona,2015-2016
Thomas Vermaelen,FC Barcelona,2015-2016
Busquets,FC Barcelona,2015-2016
Diawandou Diagne,FC Barcelona,2015-2016
Gumbau,FC Barcelona,2015-2016
Alen Halilovic,FC Barcelona,2015-2016
Iniesta,FC Barcelona,2015-2016
Rafinha,FC Barcelona,2015-2016
Ivan Rakitic,FC Barcelona,2015-2016
Samper,FC Barcelona,2015-2016
Sergi Roberto,FC Barcelona,2015-2016
Xavi,FC Barcelona,2015-2016
Lionel Messi,FC Barcelona,2015-2016
Munir,FC Barcelona,2015-2016
Neymar,FC Barcelona,2015-2016
Pedro,FC Barcelona,2015-2016
Sandro,FC Barcelona,2015-2016
Luis Suarez,FC Barcelona,2015-2016
Adama Traore,FC Barcelona,2015-2016
Luis Enrique,FC Barcelona,2015-2016
Barbara,FC Barcelona,2015-2016
Jesus Casas,FC Barcelona,2015-2016
Robert Moreno,FC Barcelona,2015-2016
Unzue,FC Barcelona,2015-2016
De la Fuente,FC Barcelona,2015-2016
Adrian Ortola,FC Barcelona,2016-2017
Claudio Bravo,FC Barcelona,2016-2017
Jordi Masip,FC Barcelona,2016-2017
Marc-Andre ter Stegen,FC Barcelona,2016-2017
Adriano,FC Barcelona,2016-2017
Aleix Vidal,FC Barcelona,2016-2017
