player,team,season,type
Arda Turan,FC Barcelona,2019-2020,club
Arturo Vidal,FC Barcelona,2019-2020,club
Alex Collado,FC Barcelona,2019-2020,club
Martin Braithwaite,FC Barcelona,2019-2020,club
Ousmane Dembele,FC Barcelona,2019-2020,club
Ansu Fati,FC Barcelona,2019-2020,club
Antoine Griezmann,FC Barcelona,2019-2020,club
Rey Manaj,FC Barcelona,2019-2020,club
Luis Suarez,FC Barcelona,2019-2020,club
Quique Setien,FC Barcelona,2019-2020,club
Eder Sarabia,FC Barcelona,2019-2020,club
Jon Pascua,FC Barcelona,2019-2020,club
Fran Soto,FC Barcelona,2019-2020,club
Pablo Cavallero,Argentina,2003-2004,nation
Leo Franco,Argentina,2003-2004,nation
Roberto Ayala,Argentina,2003-2004,nation
Fabricio Coloccini,Argentina,2003-2004,nation
Gabriel Heinze,Argentina,2003-2004,nation
Gabriel Milito,Argentina,2003-2004,nation
Diego Placente,Argentina,2003-2004,nation
Facundo Quiroga,Argentina,2003-2004,nation
Walter Samuel,Argentina,2003-2004,nation
Juan Sorin,Argentina,2003-2004,nation
Javier Zanetti,Argentina,2003-2004,nation
Sergio Batista,Argentina,2003-2004,nation
Lucas Bernardi,Argentina,2003-2004,nation
