player,team,season,type
Paulinho,Brazil,2010-2011,nation
Ralf,Brazil,2010-2011,nation
Ramires,Brazil,2010-2011,nation
Renato,Brazil,2010-2011,nation
Renato Augusto,Brazil,2010-2011,nation
Romulo,Brazil,2010-2011,nation
Ronaldinho,Brazil,2010-2011,nation
Sandro,Brazil,2010-2011,nation
Thiago Neves,Brazil,2010-2011,nation
Willian,Brazil,2010-2011,nation
Alexandre Pato,Brazil,2010-2011,nation
Andre,Brazil,2010-2011,nation
Borges,Brazil,2010-2011,nation
Fred,Brazil,2010-2011,nation
Hulk,Brazil,2010-2011,nation
Jonas,Brazil,2010-2011,nation
Leandro Damiao,Brazil,2010-2011,nation
Nilmar,Brazil,2010-2011,nation
Robinho,Brazil,2010-2011,nation
Ronaldo,Brazil,2010-2011,nation
Mano Menezes,Brazil,2010-2011,nation
Diego Alves,Brazil,2011-2012,nation
Diego Cavalieri,Brazil,2011-2012,nation
Gabriel,Brazil,2011-2012,nation
Jefferson,Brazil,2011-2012,nation
Julio Cesar,Brazil,2011-2012,nation
Neto,Brazil,2011-2012,nation
Rafael,Brazil,2011-2012,nation
Renan Ribeiro,Brazil,2011-2012,nation
Victor,Brazil,2011-2012,nation
Adriano,Brazil,2011-2012,nation
Alex Sandro,Brazil,2011-2012,nation
Bruno Uvini,Brazil,2011-2012,nation
Carlinhos,Brazil,2011-2012,nation
Dani Alves,Brazil,2011-2012,nation
Danilo,Brazil,2011-2012,nation
David Luiz,Brazil,2011-2012,nation
Dede,Brazil,2011-2012,nation
Durval,Brazil,2011-2012,nation
Fabio Santos,Brazil,2011-2012,nation
Juan Jesus,Brazil,2011-2012,nation
Leandro Castan,Brazil,2011-2012,nation
Lucas,Brazil,2011-2012,nation
Luisao,Brazil,2011-2012,nation
Marcelo,Brazil,2011-2012,nation
Rever,Brazil,2011-2012,nation
Thiago Silva,Brazil,2011-2012,nation
Arouca,Brazil,2011-2012,nation
Bernard,Brazil,2011-2012,nation
Casemiro,Brazil,2011-2012,nation
Elias,Brazil,2011-2012,nation
Fernandinho,Brazil,2011-2012,nation
Fernando,Brazil,2011-2012,nation
Ganso,Brazil,2011-2012,nation
Giuliano,Brazil,2011-2012,nation
Hernanes,Brazil,2011-2012,nation
Jadson,Brazil,2011-2012,nation
Jean,Brazil,2011-2012,nation
Kaka,Brazil,2011-2012,nation
Oscar,Brazil,2011-2012,nation
Paulinho,Brazil,2011-2012,nation
Ralf,Brazil,2011-2012,nation
Ramires,Brazil,2011-2012,nation
Romulo,Brazil,2011-2012,nation
Ronaldinho,Brazil,2011-2012,nation
Sandro,Brazil,2011-2012,nation
Thiago Neves,Brazil,2011-2012,nation
Wellington Nem,Brazil,2011-2012,nation
Alexandre Pato,Brazil,2011-2012,nation
Fred,Brazil,2011-2012,nation
Hulk,Brazil,2011-2012,nation
Jonas,Brazil,2011-2012,nation
Leandro Damiao,Brazil,2011-2012,nation
Luis Fabiano,Brazil,2011-2012,nation
Mano Menezes,Brazil,2011-2012,nation
Diego Alves,Brazil,2012-2013,nation
Diego Cavalieri,Brazil,2012-2013,nation
Jefferson,Brazil,2012-2013,nation
Julio Cesar,Brazil,2012-2013,nation
Matheus Vidotto,Brazil,2012-2013,nation
Victor,Brazil,2012-2013,nation
Adriano,Brazil,2012-2013,nation
Andre Santos,Brazil,2012-2013,nation
Dani Alves,Brazil,2012-2013,nation
Dante,Brazil,2012-2013,nation
David Luiz,Brazil,2012-2013,nation
Dede,Brazil,2012-2013,nation
Doria,Brazil,2012-2013,nation
Douglas Santos,Brazil,2012-2013,nation
Filipe Luis,Brazil,2012-2013,nation
Henrique,Brazil,2012-2013,nation
Leandro Castan,Brazil,2012-2013,nation
Maicon,Brazil,2012-2013,nation
