player,team,season,type
Filipe Luis,Atlético Madrid,2018-2019,club
Jose Gimenez,Atlético Madrid,2018-2019,club
Diego Godin,Atlético Madrid,2018-2019,club
Lucas Hernandez,Atlético Madrid,2018-2019,club
Juanfran,Atlético Madrid,2018-2019,club
Manu Sanchez,Atlético Madrid,2018-2019,club
Montero,Atlético Madrid,2018-2019,club
Nehuen Perez,Atlético Madrid,2018-2019,club
Stefan Savic,Atlético Madrid,2018-2019,club
Andres Solano,Atlético Madrid,2018-2019,club
Tachi,Atlético Madrid,2018-2019,club
Cristian Rodriguez,Atlético Madrid,2018-2019,club
Gustavo Enrique,Atlético Madrid,2018-2019,club
Koke,Atlético Madrid,2018-2019,club
Thomas Lemar,Atlético Madrid,2018-2019,club
Mikel Carro,Atlético Madrid,2018-2019,club
Thomas Partey,Atlético Madrid,2018-2019,club
Rodri,Atlético Madrid,2018-2019,club
Saul,Atlético Madrid,2018-2019,club
Toni Moya,Atlético Madrid,2018-2019,club
Borja,Atlético Madrid,2018-2019,club
Angel Correa,Atlético Madrid,2018-2019,club
Diego Costa,Atlético Madrid,2018-2019,club
Joaquin Munoz,Atlético Madrid,2018-2019,club
Nikola Kalinic,Atlético Madrid,2018-2019,club
Alvaro Morata,Atlético Madrid,2018-2019,club
Sergio Camello,Atlético Madrid,2018-2019,club
Victor Mollejo,Atlético Madrid,2018-2019,club
Vitolo,Atlético Madrid,2018-2019,club
Diego Simeone,Atlético Madrid,2018-2019,club
German Burgos,Atlético Madrid,2018-2019,club
Tiago,Atlético Madrid,2018-2019,club
Vizcaino,Atlético Madrid,2018-2019,club
Pablo Vercellone,Atlético Madrid,2018-2019,club
Ivan Rafael Diaz Infante,Atlético Madrid,2018-2019,club
Carlos Menendez,Atlético Madrid,2018-2019,club
Oscar Ortega,Atlético Madrid,2018-2019,club
Oscar Pitillas,Atlético Madrid,2018-2019,club
Inaki Pena,FC Barcelona,2019-2020,club
Neto,FC Barcelona,2019-2020,club
Marc-Andre ter Stegen,FC Barcelona,2019-2020,club
Akieme,FC Barcelona,2019-2020,club
Ronald Araujo,FC Barcelona,2019-2020,club
Chumi,FC Barcelona,2019-2020,club
Daniel Morer,FC Barcelona,2019-2020,club
Junior Firpo,FC Barcelona,2019-2020,club
Jordi Alba,FC Barcelona,2019-2020,club
Clement Lenglet,FC Barcelona,2019-2020,club
Nelson Semedo,FC Barcelona,2019-2020,club
Pique,FC Barcelona,2019-2020,club
Samuel Umtiti,FC Barcelona,2019-2020,club
Arthur,FC Barcelona,2019-2020,club
Busquets,FC Barcelona,2019-2020,club
Frenkie de Jong,FC Barcelona,2019-2020,club
Ivan Rakitic,FC Barcelona,2019-2020,club
Riqui Puig,FC Barcelona,2019-2020,club
Sergi Roberto,FC Barcelona,2019-2020,club
Arda Turan,FC Barcelona,2019-2020,club
Arturo Vidal,FC Barcelona,2019-2020,club
Alex Collado,FC Barcelona,2019-2020,club
Martin Braithwaite,FC Barcelona,2019-2020,club
Ousmane Dembele,FC Barcelona,2019-2020,club
Ansu Fati,FC Barcelona,2019-2020,club
Rey Manaj,FC Barcelona,2019-2020,club
Lionel Messi,FC Barcelona,2019-2020,club
Luis Suarez,FC Barcelona,2019-2020,club
Quique Setien,FC Barcelona,2019-2020,club
Eder Sarabia,FC Barcelona,2019-2020,club
Jon Pascua,FC Barcelona,2019-2020,club
Fran Soto,FC Barcelona,2019-2020,club
Cedric Carrasso,France,2008-2009,nation
Hugo Lloris,France,2008-2009,nation
Steve Mandanda,France,2008-2009,nation
Eric Abidal,France,2008-2009,nation
Jean-Alain Boumsong,France,2008-2009,nation
Gael Clichy,France,2008-2009,nation
Julien Escude,France,2008-2009,nation
Patrice Evra,France,2008-2009,nation
Rod Fanni,France,2008-2009,nation
William Gallas,France,2008-2009,nation
Philippe Mexes,France,2008-2009,nation
Bacary Sagna,France,2008-2009,nation
Sebastien Squillaci,France,2008-2009,nation
Alou Diarra,France,2008-2009,nation
Lassana Diarra,France,2008-2009,nation
Yoann Gourcuff,France,2008-2009,nation
Florent Malouda,France,2008-2009,nation
Samir Nasri,France,2008-2009,nation
Franck Ribery,France,2008-2009,nation
Jeremy Toulalan,France,2008-2009,nation
Patrick Vieira,France,2008-2009,nation
Nicolas Anelka,France,2008-2009,nation
Karim Benzema,France,2008-2009,nation
Jimmy Briand,France,2008-2009,nation
Andre-Pierre Gignac,France,2008-2009,nation
Sidney Govou,France,2008-2009,nation
Thierry Henry,France,2008-2009,nation
Loic Remy,France,2008-2009,nation
Raymond Domenech,France,2008-2009,nation
Robert Duverne,France,2008-2009,nation
Cedric Carrasso,France,2009-2010,nation
Nicolas Douchez,France,2009-2010,nation
Hugo Lloris,France,2009-2010,nation
Steve Mandanda,France,2009-2010,nation
Stephane Ruffier,France,2009-2010,nation
Eric Abidal,France,2009-2010,nation
Jean-Alain Boumsong,France,2009-2010,nation
Michael Ciani,France,2009-2010,nation
Aly Cissokho,France,2009-2010,nation
Gael Clichy,France,2009-2010,nation
Mathieu Debuchy,France,2009-2010,nation
Julien Escude,France,2009-2010,nation
Patrice Evra,France,2009-2010,nation
Rod Fanni,France,2009-2010,nation
William Gallas,France,2009-2010,nation
Younes Kaboul,France,2009-2010,nation
Philippe Mexes,France,2009-2010,nation
Marc Planus,France,2009-2010,nation
Adil Rami,France,2009-2010,nation
Anthony Reveillere,France,2009-2010,nation
Bacary Sagna,France,2009-2010,nation
Mamadou Sakho,France,2009-2010,nation
Sebastien Squillaci,France,2009-2010,nation
Benoit Tremoulinas,France,2009-2010,nation
Hatem Ben Arfa,France,2009-2010,nation
Yohan Cabaye,France,2009-2010,nation
Benoit Cheyrou,France,2009-2010,nation
Abou Diaby,France,2009-2010,nation
Alou Diarra,France,2009-2010,nation
Lassana Diarra,France,2009-2010,nation
Yoann Gourcuff,France,2009-2010,nation
Yann M'Vila,France,2009-2010,nation
Florent Malouda,France,2009-2010,nation
Blaise Matuidi,France,2009-2010,nation
Charles N'Zogbia,France,2009-2010,nation
Samir Nasri,France,2009-2010,nation
Franck Ribery,France,2009-2010,nation
Moussa Sissoko,France,2009-2010,nation
Jeremy Toulalan,France,2009-2010,nation
Mathieu Valbuena,France,2009-2010,nation
Nicolas Anelka,France,2009-2010,nation
Karim Benzema,France,2009-2010,nation
Jimmy Briand,France,2009-2010,nation
Djibril Cisse,France,2009-2010,nation
Kevin Gameiro,France,2009-2010,nation
Andre-Pierre Gignac,France,2009-2010,nation
Sidney Govou,France,2009-2010,nation
Thierry Henry,France,2009-2010,nation
Guillaume Hoarau,France,2009-2010,nation
Jeremy Menez,France,2009-2010,nation
Dimitri Payet,France,2009-2010,nation
Loic Remy,France,2009-2010,nation
Laurent Blanc,France,2009-2010,nation
Raymond Domenech,France,2009-2010,nation
Robert Duverne,France,2009-2010,nation
Cedric Carrasso,France,2010-2011,nation
Hugo Lloris,France,2010-2011,nation
