player,team,season,type
Cucurella,FC Barcelona,2020-2021,club
Junior Firpo,FC Barcelona,2020-2021,club
Jordi Alba,FC Barcelona,2020-2021,club
Clement Lenglet,FC Barcelona,2020-2021,club
Nelson Semedo,FC Barcelona,2020-2021,club
Pique,FC Barcelona,2020-2021,club
Jean-Clair Todibo,FC Barcelona,2020-2021,club
Samuel Umtiti,FC Barcelona,2020-2021,club
Moussa Wague,FC Barcelona,2020-2021,club
Arthur,FC Barcelona,2020-2021,club
Busquets,FC Barcelona,2020-2021,club
Carles Alena,FC Barcelona,2020-2021,club
Coutinho,FC Barcelona,2020-2021,club
Frenkie de Jong,FC Barcelona,2020-2021,club
Matheus Fernandes,FC Barcelona,2020-2021,club
Pedri,FC Barcelona,2020-2021,club
Rafinha,FC Barcelona,2020-2021,club
Ivan Rakitic,FC Barcelona,2020-2021,club
Riqui Puig,FC Barcelona,2020-2021,club
Sergi Roberto,FC Barcelona,2020-2021,club
Arda Turan,FC Barcelona,2020-2021,club
Arturo Vidal,FC Barcelona,2020-2021,club
Alex Collado,FC Barcelona,2020-2021,club
Martin Braithwaite,FC Barcelona,2020-2021,club
Carles Perez,FC Barcelona,2020-2021,club
Ousmane Dembele,FC Barcelona,2020-2021,club
Ansu Fati,FC Barcelona,2020-2021,club
Antoine Griezmann,FC Barcelona,2020-2021,club
Rey Manaj,FC Barcelona,2020-2021,club
Lionel Messi,FC Barcelona,2020-2021,club
Luis Suarez,FC Barcelona,2020-2021,club
Trincao,FC Barcelona,2020-2021,club
Quique Setien,FC Barcelona,2020-2021,club
Eder Sarabia,FC Barcelona,2020-2021,club
Jon Pascua,FC Barcelona,2020-2021,club
Fran Soto,FC Barcelona,2020-2021,club
Neto,FC Barcelona,2021-2022,club
Marc-Andre ter Stegen,FC Barcelona,2021-2022,club
Ronald Araujo,FC Barcelona,2021-2022,club
Junior Firpo,FC Barcelona,2021-2022,club
Jordi Alba,FC Barcelona,2021-2022,club
Clement Lenglet,FC Barcelona,2021-2022,club
Nelson Semedo,FC Barcelona,2021-2022,club
Pique,FC Barcelona,2021-2022,club
Jean-Clair Todibo,FC Barcelona,2021-2022,club
Samuel Umtiti,FC Barcelona,2021-2022,club
Moussa Wague,FC Barcelona,2021-2022,club
Arthur,FC Barcelona,2021-2022,club
Busquets,FC Barcelona,2021-2022,club
Carles Alena,FC Barcelona,2021-2022,club
Coutinho,FC Barcelona,2021-2022,club
Frenkie de Jong,FC Barcelona,2021-2022,club
Matheus Fernandes,FC Barcelona,2021-2022,club
Pedri,FC Barcelona,2021-2022,club
Sergi Roberto,FC Barcelona,2021-2022,club
Martin Braithwaite,FC Barcelona,2021-2022,club
Carles Perez,FC Barcelona,2021-2022,club
Ousmane Dembele,FC Barcelona,2021-2022,club
Ansu Fati,FC Barcelona,2021-2022,club
Antoine Griezmann,FC Barcelona,2021-2022,club
Rey Manaj,FC Barcelona,2021-2022,club
Trincao,FC Barcelona,2021-2022,club
Quique Setien,FC Barcelona,2021-2022,club
Eder Sarabia,FC Barcelona,2021-2022,club
Jon Pascua,FC Barcelona,2021-2022,club
Fran Soto,FC Barcelona,2021-2022,club
Neto,FC Barcelona,2022-2023,club
Ronald Araujo,FC Barcelona,2022-2023,club
Junior Firpo,FC Barcelona,2022-2023,club
Jordi Alba,FC Barcelona,2022-2023,club
Clement Lenglet,FC Barcelona,2022-2023,club
Jean-Clair Todibo,FC Barcelona,2022-2023,club
